"""I Don't Feel Like Loving You Today""",Gretchen Wilson,"I don't feel like loving you today So don't you even try to change my mind The best thing you can do right now is just go away 'Cause I don't feel like loving you today  I don't want to talk about last night I'm angry and haven't had much sleep And I'm so tired and bloodshot, there ain't no telling what I'd say 'Cause I don't feel like loving you today  But you know I will anyway Even though we make it hard sometimes I'll wind up forgiving you And probably loving you for the rest of my life But I don't feel like loving you today  And I've got sixteen hours left to go I might tell you that I'm leavin' even though you know I'll stay 'Cause I don't feel like loving you today  But you know I will anyway Even though we make it hard sometimes I'll wind up forgiving you And probably loving you for the rest of my life But I don't feel like loving you today  But I don't feel like loving you today I just don't feel like loving you today"
"""Just Call""",Delta Goodrem,"When the rain is pouring, flooding at your feet And better days feel far behind When the sun is hiding rays of light you need And the clouds, they fill your mind When the fire in your soul is feeling cold And the lights burn out, I'll be your flame  Just call my name and I'll be there I'll be next to you soon as I can When you're down and out and your heart's in doubt Don't know what to do, I'll be there with you  And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name  When the mountain feels too high for you to climb And you can't breathe, or see what's near When the night has gone too dark to see the stars And you can't wish cause it's out of reach  Just call my name and I'll be there I'll be next to you soon as I can When you're down and out and your heart's in doubt Don't know what to do, I'll be there with you  And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name  Just call my name and I'll be there I'll be next to you soon as I can When you're down and out and your heart's in doubt Don't know what to do, I'll be there with you  You can spend your days living like you have lost Or you can change, rewrite the page We could set the world on fire for the day I'll be your flame, I will be your flame  Just call my name and I'll be there I'll be next to you soon as I can When you're down and out and your heart's in doubt Don't know what to do, I'll be there with you  And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name And we'll all say Hi ya ya ya yaaa ya Hi ya ya ya yaaa ya I will be here just call my name  Just call my name and I'll be there I'll be next to you soon as I can When you're down and out and your heart's in doubt Don't know what to do, I'll be there with you  I will be here, just call my name"
"""Smoke My Dope""",Steve Aoki & Lil Uzi Vert,"[Lil Uzi Vert:] Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope  Yeah, um, what you about? Yeah, punch that nigga in his mouth, yeah Um, run in his house, yeah Get the money now we out, yeah Swervin' that bitch she annoying, aye Told that lil' bitch gotta earn it, aye Both of my choppers be brothers Callin' em Lil Bert and Lil Ernie Goyard belt it cost a Hermes Ksubi jeans tight, kinda hurtin' Pockets so big like excursion, yeah And my main bitch be a dyke Um, wait, told that lil' bitch You got a fat ass, but you not my type Aye, wait, huh, what? Bitch you thought you spendin' the night Aye, that bitch she jump on my dick Aye, ride my shit like it is a bike No I do not feel no way, but I'm higher than a kite Yeah, run through them hoes like Ray Rice Drinkin' that lean with no Sprite (sheesh) All of my bitches they bi, aye Takin' them Xans on them flights  Yeah, huh, what Cut that bitch off like I'm Zorro, yeah She say I see you tomorrow, aye Lil' bitch won't see me tomorrow, yeah Heel toeing right in my Visvims I do not rock on no Jordans Lil Uzi he got the vision, aye All the rings on like I'm Horry, aye  Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope  Yeah, um, told that bitch Is you with it? Is you ready? Yeah, um, told that bitch Is you with it? Is you ready?, yeah Um, whopper on me, chopper on me, it's so heavy, aye Pull out that Rolly, it got the bezel All of my jewelry is real metal Yeah, nigga want beef I might just fuck on his niece Aye, paid a thousand for my sneaks That be Chanel on my sneaks Paid a lot right for my teeth, aye Diamond, white gold on my teeth Yeah, takin' Xans, catch my z's Yeah, and my bitch booty on fleek, aye  Yeah, huh, what Cut that bitch off like I'm Zorro, yeah She say I see you tomorrow, aye Lil' bitch won't see me tomorrow, yeah Heel toeing right in my Visvims I do not rock on no Jordans Lil Uzi he got the vision, aye All the rings on like I'm Horry, aye  Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope Smoke my dope Smoke, smoke, smoke my dope"
"""Gone With The Wind""",Vanessa Hudgens,"Hey, yeah I used to think Being like you Was the key to having everything Every dream come true I used to think Following the crowd Was the only thing that I could do Until I found out  I'm OK Sometimes you have to do your own thing Every winter turns to spring And everybody's got their own wings  [Chorus:] The little girl you knew The one who never stood up to you Who kept her silence to long Well she's gone with the wind And now I'm standing my ground And who I am and for that I'm proud And the girl that you knew Well she's gone with the wind She's gone (she's gone) Gone (she's gone) She's gone (she's gone) Gone (she's gone) She's gone (she's gone) Gone (she's gone) Yea she's gone with the wind  I'm speaking out My conscious is clear And I don't care what anybody thinks I still fear less fear And I don't have to be What you want me to be Cause every time I try to fit in Feels like i'm in a prison  I'm OK Sometimes you have to do your own thing Every winter turns to spring And everybody's got their own wings  [Chorus]  One look in my eyes And you'll see I'm different I'm finding myself everyday And i'm on the way I have changed  [Chorus]"
"""The Business (Rock On Cozy Mix)""",Brian May,"Don't judge me, mama Don't tell me that I've done wrong It's a hard business It's a hard business to make it on your own  Don't judge me, papa If I can't handle the things in my head 'Cause it's a hard business Such a hard business walking on the edge  I got nothing and no-one in my life So how can I lose again? Got my feet in muddy water But I'm gonna find that road again  So I'll be taking care of business 'Cause I know what I'm looking for Oh, I've been working every hour God gives to man But I still see the same closed door  I've got nothing but trouble in my life But I feel I've got a lot to give Every day I try to build a new world But I've had no-one to build it with  Oh, I've been looking for a woman to share my hopes But I know I ain't a patch on you And I've been thinking that a woman's God's gift to man Are you thinking the same way too?  So don't leave me, mama Don't make me go on alone 'Cause it's a hard business Such a a hard business, oh  Tell me, it's a hard business Being on my own"
"""Ana Machi Sahel""",Saad Lamjarred,Fel7ob 9elbi 9bi7 Manjish wenti7 S3ib yeddini ri7 Ana mashi sahel  Fel7ob 9elbi 9bi7 Manjish wenti7 S3ib yeddini ri7 Ana mashi sahel  9aletli lwalida Manrebbi kebda Mashi ay we7da Matkonshi ghafel Ana mashi sahel  9aletli lwalida Manrebbi kebda Mashi ay we7da Matkonshi ghafel Ana mashi sahel  Mabghitsh nkon khfif Fe9lob lebnat ana dif Nebda l7ob feshta Wensali fesif  Mabghitsh nkon khfif Fe9lob lebnat ana dif Nebda l7ob feshta Wensali fesif  9aletli lwalida Manrebbi kebda Mashi ay we7da Matkonshi ghafel Ana mashi sahel  9aletli lwalida Manrebbi kebda Mashi ay we7da Matkonshi ghafel Ana mashi sahel
"""In The Name Of Love""",Delta Goodrem,"Started on the outside, worked my way in Tracing the road to where it all begins Watching myself back, now I've finally got it I've just felt so lost when I wasn't honest But now  I'm standing on my feet, I'm saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love  They say all is fair in love and war But nothing ever really is With best intentions they can leave you torn But baby that's the way it is Every choice in life may not be perfect But in time we'll find it'll be forgotten Yeah  I'm standing on my feet, I'm saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love  I tell it just the way it is  And here I am just standing on my feet, saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love"
"""Alive""",Marie Digby,"I'm sinking deep in my memories Of days wasted on you I can't believe that I couldn't see Just how much harm you were inflicting on me  But now that you're gone I'm moving right along  I feel alive I'm never gonna let you pull me down I'm never gonna let you stick around I feel alive I feel alive  I give, you take, that's the policy In these twisted rules you've made It makes me sick just to think of you And all the nasty things you used to do  But now that we're done I'm moving right along  I feel alive I'm never gonna let you pull me down I'm never gonna let you stick around I feel  You're a sick (a kind of liar) You're a fool (for thinking I was done yea) I'm not done (I'm only getting started) Watch me now 'cause I finally feel alive I feel alive  I feel alive I'm never gonna let you pull me down I'm never gonna let you stick around I feel alive  I'm sinking deep in my memories Of days wasted on you"
"""Did I Mention""",Dove Cameron,"I met this girl who rock my world Like it's never been rocked And now I'm living just for her And I won't ever stop I never thought that it could happen to a guy like me But now look at what you've done You got me, down on my knee"
"""SNOWMAN""",Arizona Zervas,"Snowman Yeah-yeah Skrr, skrr, ayy (94 don't need no brakes, yeah) Hey  I just got some ice, I feel like Gretzky (Gretzky) Diamonds on me, now you wanna check me (Check me) I've been steady focused on the commas (Commas) My heart is cold, I blame that on the trauma Snowman, bitch, you know that I'm frozen, yeah, yeah Snowman, bitch, you know that I'm frozen, yeah, yeah  Last night, I ate lobster in a Bimmer (Ayy) Diamonds on me lookin' like a freezer (Hey) Brand new money, Justin like I'm Bieber (Ayy) Now they starin' at me, Mona Lisa (Hey) Let me paint the picture, on my art shit (Art) I'm ballin' on these haters like it's March, bitch (True) I just put some ice on where my heart is (Brrr) Lil' shawty say I'm cold just like the Arctic  But don't blame me, baby, girl, blame it on the two-seater Gold chain, iceberg, but I'm still ridin' with a heater Yeah, yeah, yeah  I just got some ice, I feel like Gretzky (Gretzky) Diamonds on me, now you wanna check me (Check me) I've been steady focused on the commas (Commas) My heart is cold, I blame that on the trauma Snowman, bitch, you know that I'm frozen, yeah, yeah Snowman, bitch, you know that I'm frozen, yeah, yeah  Woah, woah, ho, ho, diamonds look like snowglobe, yeah (Snow), yeah Rose gold, tall hoe, stuntin' like I'm Stone Cold, yeah Ooh, and I just think it's funny How it's sunny but their nose is always runny, yeah VV's jumpin' like a bunny (Woo) Now she say she love me but I'm married to the money (Ayy) I'm sorry honey  But don't blame me, baby, girl, blame it on the two-seater Gold chain, iceberg, but I'm still ridin' with a heater Yeah, yeah, yeah  I just got some ice, I feel like Gretzky (Ice) Diamonds on me, now you wanna check me (Ooh) I've been steady focused on the commas (Commas, yeah) My heart is cold, I blame that on the trauma Snowman, bitch, you know that I'm frozen, yeah, yeah Snowman, bitch, you know that I'm frozen, yeah, yeah"
"""Goodbye Apathy""",OneRepublic,"I can't sleep, no, not like I used to I can't breathe in and out like I need to It's breaking ice now to make any movement What's your vice? You know that mine's the illusion  And all at once (as I'm trying) I can help you out (just to keep things right) I'll be what you need (I kill myself to make) I'll do anything (everything perfect for you) Goodbye, apathy, So long, apathy  So don't sit still, but don't you move away from here So goodbye, apathy (as I'm trying), So long fancy free (just to keep things right) Goodbye, apathy (I kill myself to make) I don't wanna be you (everything perfect for you)  I don't walk right, not like I used to There's a jump in my step as I rush to see you I could be happy here as long as you're near to me As long as you're close to me  Now that I'm alright (as I'm trying) I can help you out (just to keep things right) I'll be what you need (I kill myself to make) I'll do anything (everything perfect for you) Goodbye, apathy, So goodbye, apathy  So don't you stop pushing me, I can take so much So goodbye, apathy (as I'm trying), So long fancy free (just to keep things right) Goodbye, apathy (I kill myself to make) I don't wanna be you (everything perfect for you)  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  Everybody is watching you, Everybody is watching me, too  (I can't sleep)"
"""Chillin' Like A Villain""","Sofia Carson, Booboo Stewart, Cameron Boyce & Mitchell Hope","Let me tell you something you can really trust Everybody's got a wicked side I know you think that you could never be like us Watch and learn so you can get it right  You need to drag your feet You need to nod your head You need to lean back Slip through the cracks You need to not care Uh, you need to not stare You need a whole lot of help (You need to not be yourself)  You wanna be cool? Let me show you how Need to break the rules I can show you how And once you catch this feeling Yeah, once you catch this feeling You'll be chillin', chillin', oh Chillin' like a villain (chillin') Chillin' like a villain (chillin') Chillin' like a villain (hey) Chillin' like a, chillin' like a (hey), villain  You draw attention when you act like that Let us teach you how to disappear You look like you would lose a fight to an alley cat You gotta be wrong to get it right 'round here  You need to watch your back You need to creep around You need to slide real smooth Don't make a sound And if you want it, take it And if you can't take it, break it If you care about your health (Seriously, you need to not be yourself)  You wanna be cool? Let me show you how Need to break the rules I can show you how And once you catch this feeling Yeah, once you catch this feeling You'll be chillin', chillin', oh Chillin' like a villain (chillin') Chillin' like a villain (chillin') Chillin' like a  I really wanna be bad a lot And I'm giving it my best shot But it's hard being what I'm not Well if you don't, you're gonna get us caught He's right we gotta stay low-key Now show us how bad you can be Like this? (yeah, yeah, yeah) Like this? (yeah, yeah) Oh yeah, I think I got this Let's go, I'm ready to rock this And I ain't gonna thank you for your help I think I found the worst in myself  You wanna be cool? Let me show you how You don't break the rules I can show you how And once you catch this feeling Yeah, once you catch this feeling You'll be chillin', chillin', oh Chillin' like a villain (chillin') Chillin' like a villain (chillin') Chillin' like a villain (chillin') Chillin' like a villain (chillin') Chillin' like a villain"
"""Run""",OneRepublic,"When I was a young boy living in the city All I did was run run run run run Staring at the lights they look so pretty Momma said ""son son son son son You're gonna grow up, you're gonna get old All that glitters don't turn to gold But until then just have your fun Boy, run run run run run""  Yeah, run run run Run run run  When I was a young kid living in the city All I did was pay pay pay pay pay And every single dime that good Lord gave me I could make it last 3, 4, 5 days Living it up but living down low Chasing that luck before I get old And looking back, oh, we had some fun Boy run run run run run  They tell you that the sky might fall They'll say that you might lose it all So I run until I hit that wall Yeah I learned my lesson, count my blessings Look to the rising sun and run run run  Yeah, one day well the sky might fall Yeah, one day I could lose it all So I run until I hit that wall If I learned one lesson, count your blessings Look to the rising sun and run run run  Run run run  Didn't get everything that I wanted But I got what I need, yeah yeah I see that light in the morning Shining down on me So take me up high, take me down low Where it all ends nobody knows But until then let's have some fun, yeah Run run run run run  They tell you that the sky might fall They'll say that you might lose it all So I run until I hit that wall Yeah, I learned my lesson, count my blessings Look to the rising sun and run run run  Yeah, one day well the sky might fall Yeah, one day I could lose it all So I run until I hit that wall If I learned one lesson, count your blessings Look to the rising sun and run run run  Run run run Yeah Run run run  Yeah, I learned my lesson, count my blessings Look to the rising sun  Yeah, I learned my lesson, count my blessings Look to the rising sun  Yeah, if I learned one lesson, count your blessings Look to the rising sun, yeah, run run run"
"""Your Song""",Bobby Goldsboro,"It's a little bit funny this feeling inside I'm not one of those who can easily hide I don't have much money but boy if I did I'd buy a big house where we both could live  If I was a sculptor, but then again, no Or a man who makes potions in a traveling show I know it's not much but it's the best I can do My gift is my song and this one's for you  And you can tell everybody this is your song It may be quite simple but now that it's done I hope you don't mind I hope you don't mind that I put down in words How wonderful life is while you're in the world  I sat on the roof and kicked off the moss Well a few of the verses well they've got me quite cross But the sun's been quite kind while I wrote this song It's for people like you that keep it turned on  So excuse me forgetting but these things I do You see I've forgotten if they're green or they're blue Anyway the thing is what I really mean Yours are the sweetest eyes I've ever seen"
"""Pain Killer""",Gretchen Wilson,I've been pouring whiskey on your memory I can't seem to drown this hurt inside The bottom of the bottle leaves me empty I need something strong to ease my mind  I need a painkiller Just one night of sleep Someone who will hold me close And get me over him And it'll taste bitter Stranger set me free I need a painkiller Before this pain kills me  Never thought I'd have to love another Never been the kind to sleep around I wish it was a pill and not a lover It's gonna be so hard to swallow down  I need a pain killer Just one night of sleep Someone who will hold me close And get me over him And it'll taste bitter Stranger set me free I need a pain killer Before this pain kills me  And it'll taste bitter Stranger set me free I need a pain killer Before this pain kills me  I need a pain killer Before this pain kills me
"""Never Forget""",Maher Zain,"Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  When youre walking down the street And you see the clouds in the sky Praise Him and always repeat The name of The Most High And say with every heartbeat La ilaha illa Allah And say with every heartbeat La ilaha illa Allah  Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  No matter where you are or what you do Remember Allah is watching over you Hes the Light of Heavens and Earth Hes the first, and He is the last Obey Him and always say La ilaha illa Allah Obey Him and always say La ilaha illa Allah  Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  La ilaha illa Allah La ilaha illa Allah La ilaha illa Allah Never forget to say La ilaha illa Allah  Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  Every night and every day Every night and every day Never forget to say La ilaha illa Allah Never forget to say La ilaha illa Allah  La ilaha illa Allah La ilaha illa Allah La ilaha illa Allah"
"""Miss Lovely""",Aaradhna,"She’s ambitious Man, and she’s vicious Really beautiful I never thought in my life I would never do it again But now I do  She had a mission She had a vision To be with my man I could swear that I could see the twinkle in her eyes She had a plan  Hey Miss Lovely Hey Miss Lovely You’d better look the other way Cause I’ll take that pretty smile And I’ll turn that pretty smile into a frown  He’s so faithful I’m so grateful he belongs to me She’s tried so many times But in the end she always finds it Hard, too much all over me  I’m losing patience She will be facing Me very soon If she don’t stop Somebody better call the cops Cause I’ll go swinging  Hey Miss Lovely Hey Miss Lovely You’d better look the other way Cause I’ll take that pretty smile And I’ll turn that pretty smile into a frown  She’s the one playing with her hair Walking ‘round like she don’t care She’s the one that sprinkles all the trouble in the air She’s the type that likes to mess around with other ladies’ guys That’s Miss Lovely She’s Miss Lovely  Hey Miss Lovely Hey Miss Lovely You’d better look the other Cause I’ll take that pretty smile And I’ll turn that pretty smile into a frown  Hey Miss Lovely Hey Miss Lovely You’d better look the other way Cause I’ll take that pretty smile And I’ll turn that pretty smile into a frown  Hey Miss Lovely Hey Miss Lovely Look the other way I’ll take that pretty smile And I’ll turn that pretty smile into a frown  Hey Miss Lovely Hey Miss Lovely Look the other way I’ll take that pretty smile And turn that pretty smile I’ll take that pretty smile And turn that pretty smile I’ll take that pretty smile And turn that pretty smile into a frown Miss Lovely"
"""When My Stars Come Out""",Delta Goodrem,"Hey! When you gonna pull the trigger I'm up and running like a river Yeah, I'm already gone Just when you think you know who I am If you think I'm gonna keep on crying Yeah, I'm already done  I smile when it's the hardest time to smile I climb when it's the highest mountain to climb  Baby, Baby when the sun goes down That's when my stars come out Baby, Baby when the sun goes down That's when my stars come out to shine  Hey! Should I let you go on lying What's the point of me denying When I've already won Hey! Maybe you should try to remember You're never gonna make me surrender Cause I've already won  I smile when it's the hardest time to smile I climb when it's the highest mountain to climb  Baby, baby when the sun goes down That's when my stars come out Baby, baby when the sun goes down That's when my stars come out to shine  The sun sets, but it ain't over yet The sun sets, but it ain't over yet The sun sets, but it ain't over yet The sun sets  Baby, Baby when the sun goes down That's when my stars come out Baby, Baby when the sun goes down That's when my stars come out to shine  When my stars come out That’s when my stars come out"
"""Highways""",Alpha Rev,"Hmmmmmm, hmmmmm Hmmmmmm, hmmmmm  I started out like all of us Wide eyes without a gain We entered witsich innocence And I'm quicky fade  Hmmmmmm, hmmmmm  And the chases on the way Dead currage still with change After review side again Bussy rabbits on their way  Get another California Men to the dorm after river Give me a review on a couple of cigarets And now find a what I love  Hmmmmmm, hmmmmm  I made a soil from the Earth I made root from your spring But I've got so afraid to go I'm open to this changed me  Get another California Men to the dorm after river Give me a review on a couple of cigarets And now find a what I love  Stopping by the New York Travelling through the Luray, Virginia forest It's never really way to thinking it To find what I love And you find a one you love  Oooo, ooo owohohowooo owohohowooo  Find new city with a too much money (owohohowooo) Find new dawn within running and running (owohohowooo) Wake up a child and soul rain down (owohohowooo) Living every moment like a heaven even god (owohohowooo)"
"""The Power""",Maher Zain,"Masisondele, masisondele haha phila nocolo yelele [Let us draw nearer to perfect peace in life]  Subhan'Allah, walhamdu lillah [Glory be to Allah, and all praise be to Allah] La ilaha illa Allah, wa'Allahu Akbar [There is no god but Allah, and Allah is the Greatest]  Subhan'Allah, walhamdu lillah La ilaha illa Allah, wa'Allahu Akbar  You can say it once Or a hundred times or more You'll feel at peace inside And it'll open every door  That's the power of remembering Allah It's the best way to purify your heart And know you will be loved by The Merciful One 'Cause that's the power of remembering Allah  Subhan'Allah, walhamdu lillah La ilaha illa Allah, wa'Allahu Akbar  Subhan'Allah, walhamdu lillah La ilaha illa Allah, wa'Allahu Akbar  So much you can gain Just by saying those few words You can renew your faith And be showered in rewards  That's the power of remembering Allah It's the best way to purify your heart And know you will be loved by The Merciful One 'Cause that's the power of remembering Allah  La ilaha illa Allah [There is no god but Allah] La ilaha illa Allah La ilaha illa Allah Subhan'Allah, walhamdu lillah wa'Allahu Akbar [Glory be to Allah, all praise be to Allah, and Allah is the Greatest]  Masisondele kuy'uAllah [We obey You Allah] Ngokukhulu ukuzithoba [With submission, we humble ourselves before You] Sizothol' ukuphila Noxolo [So we may find peace and happiness]  That's the power of remembering Allah It's the best way to purify your heart And know you will be loved by The Merciful One 'Cause that's the power of remembering Allah  That's the power of remembering Allah It's the best way to purify your heart And know you will be loved by The Merciful One 'Cause that's the power of remembering Allah  Subhan'Allah, walhamdu lillah [Glory be to Allah, and all praise be to Allah] La ilaha illa Allah, wa'Allahu Akbar [There is no god but Allah, and Allah is the Greatest]"
"""Soulcatcher""",Haley Smalls,"Want you to give me your love Why don't you show me your face Want you to tear me apart I wanna feel your vibration Take a ride on your spaceship Past the moon and the stars And with the taste of your lips I feel like I'm on a trip It's like you're holding my heart I wanna open the door So let me look in your eyes I wanna see who you are  Can we slow Down, oh Just let it flow Losing time That's how I know You're Catching my soul Ooh  I get tangled inside of you When we collide we're like Venus and Mars Make us travel the universe Just be locked up in each other's arms And you Take me to higher plane now We're so far away And I just wanna stay And if You don't wanna be alone then I don't gotta go cuz I'm still wide awake  Can we slow Down oh Just let it flow Losing time That's how I know You're Catching my soul Ooh  Cuz time's gon' have to wait for us It's raining now we're drippin' love And in your water I wanna fall in Take a little time  Can we slow Down, oh Just let it flow Losing time That's how I know You're Catching my soul Ooh  Ooh I know you never I know you never I know you never Ooh I know you never I know you never I know you never Ooh I know you never I know you never I know you never Ooh I know you never I know you never I know you never"
"""Today""",Kendra Morris,"One step and you take it back to me baby One step and you take it back to me baby rock me in your arms, rock me ready steady, steady  Do you know what you've done, do you know what I've become, do you know I wanna be the one  One move and it's just a move when you choose to tell me what you like alright I'll take you down to the seesaw after dark anything you like, anything you like  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl  I'm sick when I don't got you phoning me I just wanna be where you are What you do when you're lonely you're tired and you're spent you're gonna need someone, I wanna be that one  Do you know what you've done, don't you see what I've become, don't you see I wanna be the one  Insanity is what pulls at me crushes me, I just gotta get next to you Wear you like a sweater when it's nasty weather unravel if it gets too hot  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl  It could be so nice to have a funny valentine Hanging out late with you this second feels so right If you wanna take things slow, lets stroll around the block Imagine you my man don't wanna think about the Clock tick tock my pulse it beats for someone that treats me like the gold under a rainbow Clouds disappear whenever you are near, could it be I'm falling in love with a souvenir  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl"
"""Come Back To Me""",Vanessa Hudgens,"[Intro] HaHa! You all need to get ready to hear The unbelievable, Indescribable Vanessa Hudgens. Baby V!  (Baby Come Back)  Everyday, I try to play, another game But my heart can’t take it. I try to find, another boy, But all the while, I can’t face it. Why do I miss you so much? I wanna stop this hurt inside Oh baby please, give us one more try  (Baby Come Back)  I see you out with all your friends Laughin’ it up as you pretend To have a good time, (good time) I know cause I'm living the same lie (same lie) So one of us has got to say We can't keep living this same way So I’ll be the one Yeah I’ll say it, I’ll say it, I’ll say it, I’ll say it again  Baby Come back to me In my heart I still believe We were meant to be… Together so whatever it takes (Baby Come Back) Baby come back to me I should have never set you free My baby Come back (Baby Come Back)  I wanna call, but then I stall, Cause after all, I just couldn’t take it Cause if your play was to push me away You know that day, my heart you’d break it (Baby Come Back) I know we made a mistake, (I do) Can’t you stop your foolish pride (Oh no) And come back to me Let’s try, Let’s try, Let’s try, Let’s try it again  Baby Come back to me (Come Back) In my heart I still believe We were meant to be… Together so whatever it takes (Baby Come Back) Baby come back to me I should have never set you free My baby Come back (Baby Come Back)  [Bridge:] You know you miss your baby V And I can see that you think about me So why do you act like you don’t care Like all this love between us isn’t there I know that you're upset I know I did you wrong I know that you want me to pay for all the pain I’ve caused But in the end it all comes down to just one thing, It’s you and me So I sing  Baby Come Back!  Baby Come back to me In my heart I still believe We were meant to be… Together so whatever it takes (Baby V!) Baby come back to me (Come Back) I should have never set you free My baby Come back (Baby Come Back!)"
"""Eevos Atik Foes Ireht""",Steve Aoki,"I want you to see it now I need you to feel it now Future is coming fast Try to imagine that  Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht  No, no, no, no, no Okay  Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht Eevos atik foes ireht"
"""Heavy""",Delta Goodrem,"I fought a battle, I fought a war I felt the rain on my face Sometimes to find what you're looking for You've gotta learn from your worst mistakes I made a wish on a satellite That I mistook for a star Guess when you build up to break down You find out who you really are  How did it all get so heavy I used to stand up so tall There's only so much I can carry Before I fall And they tell me ""girl you're so lucky"" ""You've got the world in your hands"" But you know the world gets so heavy You don't understand And that's heavy  Just tell me what's the intention Is it to fall in love I tried to find a connection Between how it is and how it was I made a promise I couldn't keep Another story to tell You swear to god that you know me But I don't, don't even know myself  How did it all get so heavy I used to stand up so tall There's only so much I can carry Before I fall And they tell me ""girl you're so lucky"" ""You've got the world in your hands"" But you know the world gets so heavy You don't understand And that's heavy  Sometimes I lay awake in bed at night I close my eyes and all I see is see the dreams I used to dream about when I was younger I wonder where I took the path of no return I might've lost my way a hundred times but no I never ever lost the hunger Oh and I know every cut and every stitch and every scar I know they've gotten me this far, they only made me tough, they made me stronger But when it's hard to breathe and I just can't get off the floor I long for days when I was free a life I lived so long before  It all got so heavy I used to stand up so tall There's only so much I can carry Before I fall They tell me ""girl you're so lucky"" ""You've got the world in your hands"" But the world gets so heavy You don't understand And that's heavy, heavy"
"""Daylight""",Steve Aoki,It's been so long since I have thrown all night I feel so good until daylight finds us  Let's be honest Now and again Till daylight finds us  Let's be young Now and again Till daylight finds us  And we'll be young Until the daylight break  And we'll be young Until the day takes away  Let's take this time Don't you let no one take us away  And tonight We'll be young till the day awakes  Don't let daylight find us Don't let daylight find us Don't let daylight find us Don't let daylight find us Oh Don't let daylight find us Oh Don't let daylight find us  Let's be young Until the daylight break  Let's be young Until the nighttime turns gray  Let's take this time Don't you let no one take us away  And tonight We'll be young till the day awakes  Don't let daylight find us Don't let daylight find us Don't let daylight find us Don't let daylight find us Oh Don't let daylight find us Oh Don't let daylight find us So don't let daylight find us Don't let daylight find us Don't let daylight find us Don't let daylight find us Oh
